WKT,ID,目撃痕跡種別,出没年,出没日,時刻,市町名,場所,備考,頭数,集落,集落コード,500mメッシュコード,緯度,経度,誘引物が原因の出没,誘引物と考えられるもの
POINT (136.75989 36.93571),45,目撃,R4,R4.5.16,18時30分頃,羽咋市,滝町地内,蜂の巣箱に誘引されたと思われる子クマ1頭を目撃,1,滝,1.72E+09,5.54E+08,36.93571,136.75989,1,はちみつ
POINT (136.31639 36.32414),68,目撃,R4,R4.5.23,19時00分頃,加賀市,大聖寺畑山町地内,畑町北交差点付近でクマ1頭を目撃,1,畑,1.72E+09,5.44E+08,36.32414,136.31639,1,農作物
POINT (136.759309 36.859951),253,痕跡,R4,R4.6.5,,宝達志水町,出浜地内,獣に荒らされた養蜂箱を発見。爪痕からクマであると推測,,出浜,1.74E+09,5.54E+08,36.859951,136.759309,1,はちみつ
POINT (136.6809647 36.5245008),259,痕跡,R4,R4.9.10,,金沢市,大桑町地内,果樹被害,,大桑,1.72E+09,5.44E+08,36.5245008,136.6809647,1,果樹
POINT (136.7465833 36.64233333),260,痕跡,R4,R4.10.12,,津幡町,浅谷地内,集落付近でクマの足跡とカキを食べた跡を確認,,浅谷,1.74E+09,5.44E+08,36.64233333,136.7465833,1,カキ
POINT (136.3925037 36.26098048),269,痕跡,R5,R5.6.10,,加賀市,山中温泉四十九院町地内,カボチャ畑ののり面にクマの足跡あり。,,四十九院,1.72E+09,5.44E+08,36.26098048,136.3925037,1,農作物
POINT (136.2990281 36.32414028),270,痕跡,R5,R5.6.14,,加賀市,豊町地内,加賀フルーツランド敷地内のサクランボの木の枝が数本折られており、糞も発見された。,,黒崎,1.72E+09,5.44E+08,36.32414028,136.2990281,1,さくらんぼ
POINT (136.4220517 36.25388453),277,痕跡,R5,R5.9.20,,加賀市,山中温泉荒谷町地内,石川県内水面水産センター敷地内でクマの糞とクルミの木の実を捕食した痕跡あり。,,荒谷,1.72E+09,5.44E+08,36.25388453,136.4220517,1,クルミ
POINT (136.6326435 36.4127618),281,痕跡,R5,R5.10.17,,白山市,中島町地内,集落内にカキを食べた跡、糞を確認,,中島町,1.72E+09,5.44E+08,36.4127618,136.6326435,1,カキ
POINT (136.8661146 36.93012345),286,痕跡,R5,R5.10.29,,羽咋市,大町地内,9：20　大町町会長から市に連絡あり（住民がキノコ採りの最中、林道大町線付近の樹木に痕跡発見）10：50　市職員、現地確認。樹木の中の空洞部分の蜂巣を採ろうと、木の側面を割き、穴?,,大町,1.72E+09,5.54E+08,36.93012345,136.8661146,1,はちみつ
POINT (136.8661146 36.93012345),287,痕跡,R5,R5.10.29,,羽咋市,大町地内,9：20　大町町会長から市に連絡あり（住民がキノコ採りの最中、林道大町線付近の樹木に痕跡発見）;10：50　市職員、現地確認;樹木の中の空洞部分の蜂巣を採ろうと、木の側面を割き、穴??,,大町,1.72E+09,5.54E+08,36.93012345,136.8661146,1,はちみつ
POINT (136.593329 36.3641868),288,痕跡,R5,R5.10.30,,白山市,三坂町地内,集落内畑の柿の木にクマが登った痕跡,,三坂,1.72E+09,5.44E+08,36.3641868,136.593329,1,カキ
POINT (136.7631 36.800126),289,痕跡,R5,R5.11.4,,宝達志水町,正友,放置果実を食べた痕跡;柿の木に爪痕,,正友,1.74E+09,5.54E+08,36.800126,136.7631,1,カキ
POINT (136.814698 36.832984),290,痕跡,R5,R5.11.5,,宝達志水町,針山,放置果実を食べた痕跡;柿の木に爪痕,,針山,1.74E+09,5.54E+08,36.832984,136.814698,1,カキ
POINT (136.777679 36.791268),291,痕跡,R5,R5.11.6,,宝達志水町,東間,放置果実を食べた痕跡;柿の木に爪痕,,東間,1.74E+09,5.54E+08,36.791268,136.777679,1,カキ
POINT (136.3893214 36.31274069),292,痕跡,R5,R5.11.6,,加賀市,松山町地内,畑に足跡を発見。畑の近隣宅の干し柿に食害あり。,,松山,1.72E+09,5.44E+08,36.31274069,136.3893214,1,カキ
POINT (136.3115739 36.28812634),293,痕跡,R5,R5.11.6,,加賀市,細坪町地内,集会場裏の柿の木の枝が折られており、そばに糞もあり。,,細坪,1.72E+09,5.44E+08,36.28812634,136.3115739,1,カキ
POINT (136.766354 36.816711),295,痕跡,R5,R5.11.8,,宝達志水町,門前,放置果実を食べた痕跡;柿の木に爪痕,,門前,1.74E+09,5.54E+08,36.816711,136.766354,1,カキ
POINT (136.6053956 36.3453417),296,痕跡,R5,R5.11.9,,白山市,相滝町地内,集落内畑の柿の木にクマが来ている痕跡,,相滝,1.72E+09,5.44E+08,36.3453417,136.6053956,1,カキ
POINT (136.762431 36.79283969),297,痕跡,R5,R5.11.21,,宝達志水町,坪山,放置果実を食べた痕跡・糞の発見;柿の木に爪痕,,坪山,1.74E+09,5.54E+08,36.79283969,136.762431,1,カキ
POINT (136.815237 36.860014),298,痕跡,R5,R5.11.26,,宝達志水町,石坂,放置果実を食べた痕跡;柿の木に爪痕,,石坂,1.74E+09,5.54E+08,36.860014,136.815237,1,カキ
POINT (136.697556 36.521056),382,目撃,R5,R5.7.2,8時15分頃,金沢市,舘町,クマ１頭の目撃,1,舘町,1.72E+09,5.44E+08,36.521056,136.697556,1,魚、エサ
POINT (136.739222 36.528889),429,目撃,R5,R5.9.1,15時30分頃,金沢市,湯谷原町,親子クマの目撃,2,湯谷原,1.72E+09,5.44E+08,36.528889,136.739222,1,魚、エサ
POINT (136.739056 36.528861),430,目撃,R5,R5.9.2,19時00分頃,金沢市,湯谷原町,親子クマの目撃,2,湯谷原,1.72E+09,5.44E+08,36.528861,136.739056,1,魚、エサ
POINT (136.738694 36.529333),431,目撃,R5,R5.9.4,18時00分頃,金沢市,湯谷原町,親子クマの目撃,2,湯谷原,1.72E+09,5.44E+08,36.529333,136.738694,1,魚、エサ
POINT (136.738444 36.529722),435,目撃,R5,R5.9.8,12時15分頃,金沢市,湯谷原町,クマ１頭の目撃,1,湯谷原,1.72E+09,5.44E+08,36.529722,136.738444,1,魚、エサ
POINT (136.695661 36.525859),457,目撃,R5,R5.10.8,17時45分頃,金沢市,舘町,農道沿いで、通行人が犀川方向へ走り去る１頭を目撃,1,舘町,1.72E+09,5.44E+08,36.525859,136.695661,1,畑
POINT (136.739782 36.52851),497,目撃,R5,R5.10.22,16時15分頃,金沢市,湯谷原町,親子とみられるクマ3頭を目撃,3,湯谷原,1.72E+09,5.44E+08,36.52851,136.739782,1,魚、エサ
POINT (136.739439 36.529277),498,目撃,R5,R5.10.22,19時00分頃,金沢市,湯谷原町,親子とみられるクマ3頭を目撃,3,湯谷原,1.72E+09,5.44E+08,36.529277,136.739439,1,魚、エサ
POINT (136.738476 36.529822),518,目撃,R5,R5.10.28,16時30分頃,金沢市,湯谷原町,クマ3頭を目撃,3,湯谷原,1.72E+09,5.44E+08,36.529822,136.738476,1,魚、エサ
